Time;Open;High;Low;Close;Volume
20-2-2020;256.9;262.7;244.2;255.9;350
21-2-2020;255.8;267;252.7;262.6;211
23-2-2020;269.2;275.1;268.9;273.9;17
24-2-2020;274;276.4;255.3;263.9;231
25-2-2020;264;264.7;243.1;244.9;258
26-2-2020;244.9;248.3;213.9;222;340
27-2-2020;222.1;236.8;208.3;226;365
28-2-2020;226.1;233.1;212.2;221.9;328
1-3-2020;212.6;219.5;211.7;215.8;23
2-3-2020;215.9;233;214.2;230.5;223
3-3-2020;230.6;231.2;218.5;222.2;194
4-3-2020;222.2;227.2;218.9;223;173
5-3-2020;222.9;232.8;222.9;227.1;191
6-3-2020;227.2;240.1;226.1;237.7;161
8-3-2020;208.2;210.7;194.5;197.9;43
9-3-2020;198;207.1;188.3;201.1;408
10-3-2020;201;204.7;194;199;219
11-3-2020;199;201.5;180.1;193;236
12-3-2020;193.1;194;100.7;107.3;586
13-3-2020;107.4;143.8;87.7;127.4;563
15-3-2020;118.4;132.1;118.4;121.8;44
16-3-2020;121.7;122.2;99.2;109.8;388
17-3-2020;109.9;119.6;108;114.5;255
18-3-2020;114.6;117.3;108.7;117;218
19-3-2020;117.1;142;114.2;135.2;248
20-3-2020;135.2;151.7;114.6;123.9;306
